tree	node	distance	d-025	d-975	brLen	speed
joyce2023	51	17010.089	11044.672	24150.987	28.125	604.803
joyce2023	52	4125.299	1510.008	7959.391	6.875	600.043
joyce2023	53	11263.251	6510.794	17732.900	21.250	530.035
joyce2023	54	6040.923	2705.620	10686.066	10.625	568.558
joyce2023	55	6698.716	3369.784	11510.012	10.625	630.467
joyce2023	56	9685.812	4724.462	13470.586	10.625	911.606
joyce2023	57	8619.691	4391.431	14305.645	16.875	510.797
joyce2023	58	31130.911	21714.464	42260.771	61.250	508.260
joyce2023	59	3013.400	1101.621	5844.125	3.750	803.573
joyce2023	60	29290.156	20163.949	40164.887	57.500	509.394
joyce2023	61	10943.199	6017.989	17435.001	20.625	530.579
joyce2023	62	19440.445	12478.441	28093.822	36.875	527.199
joyce2023	63	10143.860	5552.879	16020.477	17.500	579.649
joyce2023	64	10342.940	5517.068	16423.675	19.375	533.829
joyce2023	65	11409.215	5985.687	17344.291	19.375	588.863
joyce2023	66	3194.462	1173.382	6170.299	4.375	730.163
joyce2023	67	34967.095	25023.325	46626.606	68.750	508.612
joyce2023	68	12615.987	7253.369	19400.788	24.375	517.579
joyce2023	69	14132.709	8277.496	20744.273	24.375	579.803
joyce2023	70	2733.850	975.127	5399.364	3.750	729.027
joyce2023	71	15009.881	9079.445	22571.004	30.000	500.329
joyce2023	72	29803.964	20544.768	40836.833	59.375	501.962
joyce2023	73	30209.243	21089.843	41026.274	59.375	508.787
joyce2023	74	3719.709	1335.116	7330.473	6.875	541.049
joyce2023	75	24510.066	16405.691	34453.604	48.125	509.300
joyce2023	76	7928.877	4040.763	13415.343	14.995	528.763
joyce2023	77	10145.688	5789.306	16231.649	19.380	523.518
joyce2023	78	10212.476	5663.221	16340.330	19.380	526.964
joyce2023	79	5843.915	2627.021	10493.275	10.625	550.016
joyce2023	80	12103.644	7058.812	18988.240	23.750	509.627
joyce2023	81	8175.491	4246.469	13589.978	15.000	545.033
joyce2023	82	4384.571	1596.427	8379.131	8.750	501.094
joyce2023	83	4176.282	1492.213	8195.599	8.750	477.289
joyce2023	84	3520.995	1289.008	6886.902	5.625	625.955
joyce2023	85	17197.506	10718.951	25381.546	33.125	519.170
joyce2023	86	3694.169	1341.619	7321.045	6.250	591.067
joyce2023	87	5351.672	2439.443	9567.337	8.750	611.620
joyce2023	88	15338.691	9525.826	22834.609	28.750	533.520
joyce2023	89	13966.768	8533.159	20785.234	25.000	558.671
joyce2023	90	5329.480	2454.752	8540.196	3.750	1421.195
joyce2023	91	5898.585	2726.558	8597.740	3.750	1572.956
joyce2023	92	3013.170	1114.555	5804.602	3.750	803.512
joyce2023	93	17499.986	11108.567	25734.358	33.750	518.518
joyce2023	94	6124.603	2819.677	10816.396	11.250	544.409
joyce2023	95	11656.018	6668.649	18375.767	22.500	518.045
joyce2023	96	3797.128	1397.912	7269.880	6.250	607.540
