# taxon distribution range models
# data save on : 2023-09-25T17:03:33-03:00
taxon	type	age	equator	pixel	density
Acer palmatum	points	0	360	6931	1.000000
Acer palmatum	points	0	360	6932	1.000000
Acer palmatum	points	0	360	6933	1.000000
Acer palmatum	points	0	360	7199	1.000000
Acer palmatum	points	0	360	7201	1.000000
Acer palmatum	points	0	360	7202	1.000000
Acer palmatum	points	0	360	7473	1.000000
Acer palmatum	points	0	360	7476	1.000000
Acer palmatum	points	0	360	7477	1.000000
Acer palmatum	points	0	360	7478	1.000000
Acer palmatum	points	0	360	7479	1.000000
Acer palmatum	points	0	360	7750	1.000000
Acer palmatum	points	0	360	7752	1.000000
Acer palmatum	points	0	360	7754	1.000000
Acer palmatum	points	0	360	7755	1.000000
Acer palmatum	points	0	360	7756	1.000000
Acer palmatum	points	0	360	7757	1.000000
Acer palmatum	points	0	360	7758	1.000000
Acer palmatum	points	0	360	8030	1.000000
Acer palmatum	points	0	360	8031	1.000000
Acer palmatum	points	0	360	8039	1.000000
Acer palmatum	points	0	360	8040	1.000000
Acer palmatum	points	0	360	8041	1.000000
Acer palmatum	points	0	360	8042	1.000000
Acer palmatum	points	0	360	8317	1.000000
Acer palmatum	points	0	360	8318	1.000000
Acer palmatum	points	0	360	8325	1.000000
Acer palmatum	points	0	360	8326	1.000000
Acer palmatum	points	0	360	8327	1.000000
Acer palmatum	points	0	360	8328	1.000000
Acer palmatum	points	0	360	8608	1.000000
Acer palmatum	points	0	360	8609	1.000000
Acer palmatum	points	0	360	8610	1.000000
Acer palmatum	points	0	360	8613	1.000000
Acer palmatum	points	0	360	8614	1.000000
Acer palmatum	points	0	360	8615	1.000000
Acer palmatum	points	0	360	8616	1.000000
Acer palmatum	points	0	360	8617	1.000000
Acer palmatum	points	0	360	8618	1.000000
Acer palmatum	points	0	360	8619	1.000000
Acer palmatum	points	0	360	8902	1.000000
Acer palmatum	points	0	360	8903	1.000000
Acer palmatum	points	0	360	8904	1.000000
Acer palmatum	points	0	360	8905	1.000000
Acer palmatum	points	0	360	8906	1.000000
Acer palmatum	points	0	360	8907	1.000000
Acer palmatum	points	0	360	8908	1.000000
Acer palmatum	points	0	360	8909	1.000000
Acer palmatum	points	0	360	8910	1.000000
Acer palmatum	points	0	360	8911	1.000000
Acer palmatum	points	0	360	8912	1.000000
Acer palmatum	points	0	360	8913	1.000000
Acer palmatum	points	0	360	8914	1.000000
Acer palmatum	points	0	360	8916	1.000000
Acer palmatum	points	0	360	9200	1.000000
Acer palmatum	points	0	360	9202	1.000000
Acer palmatum	points	0	360	9203	1.000000
Acer palmatum	points	0	360	9204	1.000000
Acer palmatum	points	0	360	9205	1.000000
Acer palmatum	points	0	360	9206	1.000000
Acer palmatum	points	0	360	9207	1.000000
Acer palmatum	points	0	360	9208	1.000000
Acer palmatum	points	0	360	9211	1.000000
Acer palmatum	points	0	360	9501	1.000000
Acer palmatum	points	0	360	9503	1.000000
Acer palmatum	points	0	360	9504	1.000000
Acer palmatum	points	0	360	9505	1.000000
Acer palmatum	points	0	360	9506	1.000000
Acer palmatum	points	0	360	9507	1.000000
Acer palmatum	points	0	360	9809	1.000000
Acer palmatum	points	0	360	9810	1.000000
Acer palmatum	points	0	360	12369	1.000000
Acer rubrum	points	0	360	3897	1.000000
Acer rubrum	points	0	360	4516	1.000000
Acer rubrum	points	0	360	4769	1.000000
Acer rubrum	points	0	360	4775	1.000000
Acer rubrum	points	0	360	4781	1.000000
Acer rubrum	points	0	360	4782	1.000000
Acer rubrum	points	0	360	4783	1.000000
Acer rubrum	points	0	360	4786	1.000000
Acer rubrum	points	0	360	4979	1.000000
Acer rubrum	points	0	360	4980	1.000000
Acer rubrum	points	0	360	4997	1.000000
Acer rubrum	points	0	360	4998	1.000000
Acer rubrum	points	0	360	4999	1.000000
Acer rubrum	points	0	360	5000	1.000000
Acer rubrum	points	0	360	5007	1.000000
Acer rubrum	points	0	360	5008	1.000000
Acer rubrum	points	0	360	5012	1.000000
Acer rubrum	points	0	360	5013	1.000000
Acer rubrum	points	0	360	5015	1.000000
Acer rubrum	points	0	360	5016	1.000000
Acer rubrum	points	0	360	5019	1.000000
Acer rubrum	points	0	360	5022	1.000000
Acer rubrum	points	0	360	5024	1.000000
Acer rubrum	points	0	360	5217	1.000000
Acer rubrum	points	0	360	5235	1.000000
Acer rubrum	points	0	360	5236	1.000000
Acer rubrum	points	0	360	5237	1.000000
Acer rubrum	points	0	360	5238	1.000000
Acer rubrum	points	0	360	5239	1.000000
Acer rubrum	points	0	360	5240	1.000000
Acer rubrum	points	0	360	5241	1.000000
Acer rubrum	points	0	360	5242	1.000000
Acer rubrum	points	0	360	5244	1.000000
Acer rubrum	points	0	360	5245	1.000000
Acer rubrum	points	0	360	5246	1.000000
Acer rubrum	points	0	360	5249	1.000000
Acer rubrum	points	0	360	5251	1.000000
Acer rubrum	points	0	360	5252	1.000000
Acer rubrum	points	0	360	5253	1.000000
Acer rubrum	points	0	360	5261	1.000000
Acer rubrum	points	0	360	5263	1.000000
Acer rubrum	points	0	360	5458	1.000000
Acer rubrum	points	0	360	5476	1.000000
Acer rubrum	points	0	360	5477	1.000000
Acer rubrum	points	0	360	5478	1.000000
Acer rubrum	points	0	360	5479	1.000000
Acer rubrum	points	0	360	5480	1.000000
Acer rubrum	points	0	360	5481	1.000000
Acer rubrum	points	0	360	5482	1.000000
Acer rubrum	points	0	360	5483	1.000000
Acer rubrum	points	0	360	5484	1.000000
Acer rubrum	points	0	360	5485	1.000000
Acer rubrum	points	0	360	5486	1.000000
Acer rubrum	points	0	360	5487	1.000000
Acer rubrum	points	0	360	5490	1.000000
Acer rubrum	points	0	360	5492	1.000000
Acer rubrum	points	0	360	5493	1.000000
Acer rubrum	points	0	360	5494	1.000000
Acer rubrum	points	0	360	5496	1.000000
Acer rubrum	points	0	360	5497	1.000000
Acer rubrum	points	0	360	5500	1.000000
Acer rubrum	points	0	360	5504	1.000000
Acer rubrum	points	0	360	5705	1.000000
Acer rubrum	points	0	360	5724	1.000000
Acer rubrum	points	0	360	5725	1.000000
Acer rubrum	points	0	360	5726	1.000000
Acer rubrum	points	0	360	5727	1.000000
Acer rubrum	points	0	360	5728	1.000000
